,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,F,GOOGL,JNJ,MSFT,PFE,SPY,AAPL,AMZN,F,GOOGL,JNJ,MSFT,PFE,SPY,AAPL,AMZN,F,GOOGL,JNJ,MSFT,PFE,SPY,AAPL,AMZN,F,GOOGL,JNJ,MSFT,PFE,SPY,AAPL,AMZN,F,GOOGL,JNJ,MSFT,PFE,SPY,AAPL,AMZN,F,GOOGL,JNJ,MSFT,PFE,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-02,0.22806993126869202,13.875,13.328902244567871,,29.89427947998047,13.7431001663208,21.071359634399414,87.26891326904297,0.265625,13.875,24.3125,,51.0,21.6875,43.76185989379883,128.8125,0.2723209857940674,16.0,24.9375,,52.34375,22.5,44.35483932495117,132.15625,0.26004499197006226,13.625,23.75,,50.78125,21.4375,43.168880462646484,127.5625,0.265625,15.8125,23.8125,,52.0,22.0625,43.22817611694336,132.0,452312000,9203500,5226500,,8855200,82413200,11231108,8737500
2001-01-03,0.2510688602924347,17.5625,13.774347305297852,,28.941776275634766,15.188695907592773,19.90073013305664,91.46086120605469,0.2924109995365143,17.5625,25.125,,49.375,23.96875,41.33064651489258,135.0,0.297991007566452,17.875,25.5,,51.84375,24.4375,44.058349609375,136.0,0.2578130066394806,13.5625,23.875,,48.9375,21.5625,40.32258224487305,127.65625,0.2589290142059326,13.625,24.5625,,51.5,21.59375,43.64326477050781,128.3125,817073600,14680400,11157800,,11326000,135962200,23756633,19431600
2001-01-04,0.26161009073257446,15.5,14.768012046813965,,28.318979263305664,15.34712028503418,19.101274490356445,90.47639465332031,0.3046880066394806,15.5,26.9375,,48.3125,24.21875,39.67030334472656,133.546875,0.33035698533058167,17.5625,28.0,,49.0625,25.25,41.686431884765625,135.46875,0.3002229928970337,15.4375,25.4375,,47.5625,23.4375,38.89942932128906,133.0,0.3239400088787079,17.0,28.0,,49.03125,23.90625,41.62713623046875,134.9375,739396000,10620500,14896200,,12941200,112397000,34849983,9219000
2001-01-05,0.2510688602924347,14.5625,14.39110279083252,,28.685331344604492,15.564948081970215,19.358247756958008,87.52295684814453,0.2924109995365143,14.5625,26.25,,48.9375,24.5625,40.203983306884766,129.1875,0.31026801466941833,15.875,27.0,,49.9375,24.9375,41.2120475769043,133.625,0.28683000802993774,13.5625,25.875,,47.875,23.78125,39.492408752441406,129.1875,0.30245500802993774,15.5,27.0,,48.71875,24.25,40.32258224487305,133.46875,412356000,8798800,6710900,,9277200,93414600,19097637,12911400
2001-01-08,0.2539435625076294,14.9375,14.048460960388184,,28.648704528808594,15.505532264709473,19.12983512878418,88.200439453125,0.295758992433548,14.9375,25.625,,48.875,24.46875,39.7296028137207,130.1875,0.30329200625419617,15.5625,26.0,,49.75,24.875,41.15275192260742,130.1875,0.2845979928970337,13.75,24.9375,,48.5,23.34375,39.43311309814453,127.6875,0.30245500802993774,14.4375,25.4375,,48.59375,24.46875,40.79696273803711,129.875,373699200,10444700,5900300,,5520200,79817600,14593684,6625300
2001-01-09,0.2635265290737152,16.375,14.493894577026367,,28.850200653076172,16.416465759277344,19.757972717285156,87.9675521850586,0.30691999197006226,16.375,26.4375,,49.21875,25.90625,41.034156799316406,129.84375,0.31501099467277527,16.625,26.75,,49.5,26.3125,41.034156799316406,131.5,0.295758992433548,14.5625,25.5625,,48.71875,24.875,39.84819793701172,129.421875,0.3002229928970337,14.5625,25.75,,49.0,25.0,40.08538818359375,131.046875,588929600,23455200,7254400,,6376600,114965400,11832099,5702400
2001-01-10,0.2539435625076294,16.5,14.39110279083252,,28.09917449951172,16.753110885620117,19.32969093322754,89.51307678222656,0.295758992433548,16.5,26.25,,47.9375,26.4375,40.14468765258789,132.125,0.3035709857940674,17.0,26.5,,49.5,26.90625,41.50853729248047,132.125,0.28683000802993774,15.5625,25.5625,,47.6875,25.375,40.08538818359375,128.8125,0.297991007566452,15.84375,25.625,,49.46875,25.5,40.91556167602539,129.0,580781600,11002500,6974400,,7524200,90230200,14925799,8746100
2001-01-11,0.2759842574596405,17.0,14.768012046813965,,27.091705322265625,17.42640495300293,18.730093002319336,89.5977554321289,0.3214290142059326,17.0,26.9375,,46.21875,27.5,38.89942932128906,132.25,0.33035698533058167,17.3125,27.625,,48.21875,27.875,40.203983306884766,133.484375,0.2901790142059326,15.625,25.9375,,46.09375,26.15625,38.66223907470703,131.09375,0.2901790142059326,15.75,26.0625,,48.0,26.5,39.966793060302734,131.09375,803734400,12756600,6835600,,8410400,101854800,23291292,7245100
